Time,Latitude,Longitude,Course,feet
Tue 06:24:18 PM,43.11,-44.6649,→ 90°,"37,000"
Tue 06:25:23 PM,43.1091,-44.442,→ 90°,"37,000"
Tue 06:27:23 PM,43.1062,-44.0305,→ 91°,"37,000"
Tue 06:29:20 PM,43.102,-43.6293,→ 91°,"37,000"
Tue 06:30:23 PM,43.0991,-43.4133,→ 91°,"37,000"
Tue 06:32:13 PM,43.0932,-43.0363,→ 91°,"37,000"
Tue 06:33:19 PM,43.089,-42.8101,→ 92°,"37,000"
Tue 06:34:20 PM,43.0848,-42.601,→ 92°,"37,000"
Tue 06:35:21 PM,43.0801,-42.392,→ 92°,"37,000"
Tue 06:37:18 PM,43.0702,-41.9912,→ 92°,"37,000"
Tue 06:38:19 PM,43.0645,-41.7823,→ 92°,"37,000"
Tue 06:40:20 PM,43.052,-41.3681,→ 93°,"37,000"
Tue 06:42:08 PM,43.0395,-40.9985,→ 93°,"37,000"
Tue 06:43:23 PM,43.0302,-40.7419,→ 93°,"37,000"
Tue 06:45:14 PM,43.0154,-40.3623,→ 93°,"37,000"
Tue 06:46:24 PM,43.0053,-40.123,→ 93°,"37,000"
Tue 06:48:22 PM,43.0412,-39.7145,→ 79°,"37,000"
Tue 06:50:18 PM,43.0984,-39.3099,→ 79°,"37,000"
Tue 06:51:22 PM,43.1293,-39.0864,→ 79°,"37,000"
Tue 06:53:23 PM,43.1866,-38.6632,→ 80°,"37,000"
Tue 06:55:23 PM,43.2418,-38.2427,→ 80°,"37,000"
Tue 06:56:23 PM,43.2689,-38.0322,→ 80°,"37,000"
Tue 06:57:25 PM,43.2964,-37.8144,→ 80°,"37,000"
Tue 06:59:16 PM,43.3447,-37.4241,→ 80°,"37,000"
Tue 07:01:24 PM,43.3987,-36.9733,→ 81°,"37,000"
Tue 07:02:26 PM,43.4242,-36.7546,→ 81°,"37,000"
Tue 07:04:24 PM,43.4716,-36.3379,→ 81°,"37,000"
Tue 07:06:25 PM,43.5187,-35.91,→ 82°,"37,000"
Tue 07:08:19 PM,43.5616,-35.5062,→ 82°,"37,000"
Tue 07:10:24 PM,43.6069,-35.0628,→ 82°,"37,000"
Tue 07:12:21 PM,43.6479,-34.6472,→ 82°,"37,000"
Tue 07:13:24 PM,43.6693,-34.4232,→ 83°,"37,000"
Tue 07:15:16 PM,43.7062,-34.0245,→ 83°,"37,000"
Tue 07:16:20 PM,43.7268,-33.7965,→ 83°,"37,000"
Tue 07:18:22 PM,43.7646,-33.3614,→ 83°,"37,000"
Tue 07:19:24 PM,43.7832,-33.1401,→ 83°,"37,000"
Tue 07:21:15 PM,43.8154,-32.7435,→ 84°,"37,000"
Tue 07:22:18 PM,43.8331,-32.5183,→ 84°,"37,000"
Tue 07:23:23 PM,43.8509,-32.2857,→ 84°,"37,000"
Tue 07:25:23 PM,43.8824,-31.856,→ 84°,"37,000"
Tue 07:26:23 PM,43.8976,-31.641,→ 84°,"37,000"
Tue 07:27:24 PM,43.9126,-31.4223,→ 85°,"37,000"
Tue 07:29:19 PM,43.9398,-31.0097,→ 85°,"37,000"
Tue 07:31:23 PM,43.9675,-30.5644,→ 85°,"37,000"
Tue 07:33:23 PM,43.9926,-30.1331,→ 86°,"37,000"
Tue 07:34:23 PM,43.9995,-29.929,→ 90°,
Tue 07:36:24 PM,43.996,-29.5165,→ 91°,
Tue 07:38:20 PM,43.9913,-29.1212,→ 91°,
Tue 07:39:23 PM,43.9881,-28.9065,→ 91°,
Tue 07:41:24 PM,43.9809,-28.4943,→ 91°,
Tue 07:43:22 PM,43.9725,-28.0924,→ 92°,
Tue 07:45:24 PM,43.9622,-27.677,→ 92°,
Tue 07:47:21 PM,43.951,-27.2788,→ 92°,
Tue 07:48:21 PM,43.9447,-27.0746,→ 92°,
Tue 07:50:23 PM,43.9308,-26.6596,→ 93°,
Tue 07:52:21 PM,43.916,-26.2584,→ 93°,
Tue 07:54:21 PM,43.8994,-25.8506,→ 93°,
Tue 07:55:21 PM,43.8906,-25.6468,→ 93°,
Tue 07:56:24 PM,43.8809,-25.4329,→ 94°,
Tue 07:57:24 PM,43.8714,-25.2293,→ 94°,
Tue 07:59:22 PM,43.8515,-24.8289,→ 94°,
Tue 08:01:25 PM,43.8293,-24.4119,→ 94°,
Tue 08:03:25 PM,43.8062,-24.0053,→ 94°,
Tue 08:05:23 PM,43.7821,-23.6059,→ 95°,
Tue 08:07:25 PM,43.7557,-23.1932,→ 95°,
Tue 08:09:24 PM,43.7285,-22.7911,→ 95°,
Tue 08:11:17 PM,43.7013,-22.4096,→ 95°,
