Time,Latitude,Longitude,Course,feet
Thu 04:23:22 PM,62.896,-50.3263,↗ 55°,"33,000"
Thu 04:23:52 PM,62.9401,-50.1884,↗ 55°,"33,000"
Thu 04:24:22 PM,62.9844,-50.0516,↗ 54°,"33,000"
Thu 04:24:52 PM,63.031,-49.9179,↗ 52°,"33,000"
Thu 04:25:22 PM,63.0792,-49.7856,↗ 51°,"33,000"
Thu 04:27:33 PM,63.2736,-49.2511,↗ 51°,
Thu 04:28:39 PM,63.3707,-48.9791,↗ 51°,
Thu 04:29:41 PM,63.4615,-48.722,↗ 52°,
Thu 04:30:43 PM,63.5518,-48.4632,↗ 52°,
Thu 04:32:41 PM,63.7225,-47.9662,↗ 52°,
Thu 04:34:40 PM,63.893,-47.4591,↗ 52°,
Thu 04:36:31 PM,64.0504,-46.9805,↗ 53°,
Thu 04:37:42 PM,64.1502,-46.6716,↗ 53°,
Thu 04:39:39 PM,64.3133,-46.1576,↗ 54°,
Thu 04:40:42 PM,64.4004,-45.8784,↗ 54°,
Thu 04:41:50 PM,64.4938,-45.575,↗ 54°,
Thu 04:43:07 PM,64.5988,-45.2289,↗ 55°,
Thu 04:44:08 PM,64.6814,-44.9528,↗ 55°,
Thu 04:46:07 PM,64.841,-44.4095,↗ 55°,
Thu 04:48:01 PM,64.9919,-43.8827,↗ 56°,
Thu 04:49:07 PM,65.0784,-43.575,↗ 56°,
Thu 04:51:04 PM,65.2302,-43.0246,↗ 56°,
Thu 04:53:05 PM,65.385,-42.4487,↗ 57°,
Thu 04:54:56 PM,65.5251,-41.9144,↗ 57°,
Thu 04:56:07 PM,65.6137,-41.5697,↗ 58°,
Thu 04:57:07 PM,65.688,-41.2765,↗ 58°,
Thu 04:59:01 PM,65.8275,-40.7149,↗ 59°,
Thu 05:00:59 PM,65.9697,-40.1272,↗ 59°,
Thu 05:02:06 PM,66.0515,-39.7935,↗ 58°,
Thu 05:04:02 PM,66.1936,-39.2139,↗ 59°,
Thu 05:05:06 PM,66.271,-38.8914,↗ 59°,
Thu 05:06:07 PM,66.3442,-38.5821,↗ 59°,
Thu 05:07:07 PM,66.4156,-38.2762,↗ 60°,
Thu 05:09:05 PM,66.5542,-37.6694,↗ 60°,
Thu 05:10:06 PM,66.625,-37.353,↗ 60°,
Thu 05:11:07 PM,66.6951,-37.0349,↗ 61°,
Thu 05:13:03 PM,66.8266,-36.4249,↗ 61°,
Thu 05:14:04 PM,66.8948,-36.1015,↗ 62°,
Thu 05:15:08 PM,66.9657,-35.7603,↗ 62°,
Thu 05:17:01 PM,67.089,-35.153,↗ 62°,
Thu 05:18:07 PM,67.1599,-34.7955,↗ 63°,
Thu 05:20:06 PM,67.2858,-34.1455,↗ 63°,
Thu 05:21:07 PM,67.3493,-33.8097,↗ 64°,
Thu 05:22:07 PM,67.411,-33.4777,↗ 64°,
Thu 05:23:07 PM,67.4721,-33.1439,↗ 64°,
Thu 05:25:07 PM,67.5922,-32.4713,↗ 65°,
